,type,social_media,categories,sales_performance,positive_impact,social_vs_sales
0,Electronics & Gadgets,"Facebook, Tik-Tok",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
1,Clothing & Apparel,"Facebook, Instagram, Twitter/X, Tik-Tok",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
2,Accessories,Tik-Tok,Home Appliances,"No, noticeable change",Agree,"Yes, high engagement leads to more sales"
3,Barber,Tik-Tok,Clothing & Apparel,"Yes, a slight increase",Agree,"Sometimes, but not always"
4,Clothing & Apparel,"Instagram, Twitter/X, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Agree,"Yes, high engagement leads to more sales"
5,Kitchen utensils,Tik-Tok,Home Appliances,"Yes, a slight increase",Agree,"Sometimes, but not always"
6,Electronics & Gadgets,Facebook,Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
7,Food & Beverages,Tik-Tok,Food & Beverages,"Yes, a significant increase",Strongly agree,No noticeable impact
8,Clothing & Apparel,"Instagram, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
9,Clothing & Apparel,"Facebook, Instagram, Tik-Tok, Snapchat, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
10,Construction,"Facebook, Instagram, Twitter/X, LinkedIn, WhatsApp, Telegram",Home Appliances,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
11,Clothing & Apparel,"Facebook, Instagram, Twitter/X, Tik-Tok, LinkedIn, Snapchat, WhatsApp, Telegram",Clothing & Apparel,"Yes, a significant increase",Agree,"Sometimes, but not always"
12,Clothing & Apparel,"Facebook, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
13,Food & Beverages,WhatsApp,Food & Beverages,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
14,Food & Beverages,"Instagram, Twitter/X, Tik-Tok, WhatsApp, Telegram",Food & Beverages,"Yes, a slight increase",Agree,"Sometimes, but not always"
15,Food & Beverages,"Facebook, WhatsApp",Food & Beverages,"No, noticeable change",Agree,"Sometimes, but not always"
16,Clothing & Apparel,WhatsApp,Clothing & Apparel,"Yes, a slight increase",Neutral,"Yes, high engagement leads to more sales"
17,Electronics & Gadgets,"Facebook, Instagram, Tik-Tok, Snapchat, WhatsApp, Telegram",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
18,Clothing & Apparel,"Facebook, Instagram, Twitter/X, Tik-Tok, WhatsApp, Telegram",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Sometimes, but not always"
19,Electronics & Gadgets,"Facebook, WhatsApp",Home Appliances,"Yes, a significant increase",Agree,"Yes, high engagement leads to more sales"
20,Electronics & Gadgets,Facebook,Home Appliances,"Yes, a significant increase",Agree,"Sometimes, but not always"
21,Crochet wears,"Instagram, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Sometimes, but not always"
22,Clothing & Apparel,"Facebook, WhatsApp",Clothing & Apparel,"No, noticeable change",Agree,"Yes, high engagement leads to more sales"
23,Drycleaning,"Facebook, WhatsApp, Telegram",Clothing & Apparel,"Yes, a slight increase",Agree,"Sometimes, but not always"
24,Food & Beverages,WhatsApp,Food & Beverages,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
25,Electronics & Gadgets,"Facebook, Instagram, Tik-Tok, WhatsApp",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
26,Food & Beverages,WhatsApp,Food & Beverages,"Yes, a slight increase",Agree,"Sometimes, but not always"
27,Food & Beverages,"Instagram, WhatsApp",Food & Beverages,"Yes, a slight increase",Strongly agree,"Yes, high engagement leads to more sales"
28,Perfume,Facebook,Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
29,Clothing & Apparel,Tik-Tok,Clothing & Apparel,"Yes, a slight increase",Strongly agree,"Yes, high engagement leads to more sales"
30,Drugs,"Facebook, Instagram, Tik-Tok, WhatsApp",Food & Beverages,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
31,Finance,"Facebook, Instagram, Tik-Tok, WhatsApp",Clothing & Apparel,"No, noticeable change",Neutral,"Sometimes, but not always"
32,Clothing & Apparel,"Facebook, Instagram, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
33,Food & Beverages,"Facebook, Instagram, Twitter/X, Tik-Tok, LinkedIn, WhatsApp, Telegram",Food & Beverages,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
34,Cooking gas,"Facebook, Instagram, Twitter/X, Tik-Tok, WhatsApp",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
35,Clothing & Apparel,"Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Sometimes, but not always"
36,"Internet, designs","Facebook, Instagram, Twitter/X, Tik-Tok, WhatsApp, Telegram",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
37,Clothing & Apparel,"Facebook, Instagram, Twitter/X, Tik-Tok, Snapchat, WhatsApp, Telegram",Clothing & Apparel,"Yes, a slight increase",Strongly agree,"Yes, high engagement leads to more sales"
38,Clothing & Apparel,"Instagram, Twitter/X, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
39,Electronics & Gadgets,"Facebook, WhatsApp",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
40,Electronics & Gadgets,"Facebook, WhatsApp",Home Appliances,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
41,Food & Beverages,"Facebook, Twitter/X, WhatsApp",Food & Beverages,"Yes, a significant increase",Strongly agree,"Sometimes, but not always"
42,Food & Beverages,"Instagram, WhatsApp",Food & Beverages,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
43,Clothing & Apparel,"Facebook, Instagram, Twitter/X, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
44,Clothing & Apparel,"Facebook, Tik-Tok, WhatsApp",Clothing & Apparel,Sales decreased,Agree,"Sometimes, but not always"
45,Electronics & Gadgets,"Facebook, Instagram, Twitter/X, WhatsApp, Telegram",Home Appliances,"Yes, a slight increase",Agree,"Sometimes, but not always"
46,Household items,"Facebook, Instagram, Tik-Tok, Snapchat, WhatsApp, Telegram",Home Appliances,"Yes, a significant increase",Strongly agree,"Sometimes, but not always"
47,Home essentials,"Facebook, WhatsApp",Home Appliances,"Yes, a slight increase",Agree,"Sometimes, but not always"
48,Banking system,"Facebook, Instagram, Twitter/X, Tik-Tok, LinkedIn, Snapchat, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
49,Food & Beverages,"Facebook, Instagram, Tik-Tok, WhatsApp, Telegram",Food & Beverages,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
50,Electronics & Gadgets,"Facebook, Instagram, Tik-Tok, WhatsApp, Telegram",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
51,Electronics & Gadgets,"Facebook, Instagram, Tik-Tok, Snapchat, WhatsApp, Telegram",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
52,Clothing & Apparel,"Facebook, Instagram, Tik-Tok, Snapchat",Clothing & Apparel,"No, noticeable change",Strongly agree,"Sometimes, but not always"
53,Clothing & Apparel,"Instagram, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a slight increase",Strongly agree,"Sometimes, but not always"
54,Electrical,"Facebook, Tik-Tok, WhatsApp, Telegram",Home Appliances,"Yes, a slight increase",Agree,"Sometimes, but not always"
55,Photography,"Instagram, WhatsApp",Home Appliances,"Yes, a significant increase",Agree,"Sometimes, but not always"
56,Makeup artist,Tik-Tok,Clothing & Apparel,"Yes, a slight increase",Strongly agree,"Yes, high engagement leads to more sales"
57,Food & Beverages,"Facebook, Tik-Tok, WhatsApp",Food & Beverages,"Yes, a significant increase",Agree,"Yes, high engagement leads to more sales"
58,Electronics & Gadgets,"Facebook, Twitter/X, Tik-Tok, LinkedIn, WhatsApp, Telegram",Home Appliances,"Yes, a significant increase",Strongly agree,"Sometimes, but not always"
59,Food & Beverages,"Tik-Tok, WhatsApp",Food & Beverages,"Yes, a slight increase",Agree,"Sometimes, but not always"
60,Food & Beverages,"Tik-Tok, WhatsApp",Food & Beverages,"Yes, a slight increase",Neutral,"Yes, high engagement leads to more sales"
61,"Frame, Throw Pillow, Mug, Magic Mug, and other gift items for birthday surprises","Facebook, Instagram, Twitter/X, Tik-Tok, LinkedIn, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
62,Haircut,"Facebook, Instagram, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a slight increase",Strongly agree,"Yes, high engagement leads to more sales"
63,Clothing & Apparel,"Facebook, Instagram, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a slight increase",Strongly agree,"Sometimes, but not always"
64,Electronics & Gadgets,"Facebook, Instagram, Twitter/X, Tik-Tok, WhatsApp",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
65,Clothing & Apparel,"Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Agree,"Yes, high engagement leads to more sales"
66,Clothing & Apparel,Tik-Tok,Clothing & Apparel,"Yes, a significant increase",Agree,"Yes, high engagement leads to more sales"
67,Farming  and poultry,Tik-Tok,Food & Beverages,"Yes, a slight increase",Agree,"Sometimes, but not always"
68,Food & Beverages,"Facebook, LinkedIn",Food & Beverages,"Yes, a slight increase",Strongly agree,"Sometimes, but not always"
69,Graphics,"Facebook, Instagram, Twitter/X, Snapchat, WhatsApp",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
70,Clothing and food,"Facebook, Instagram, WhatsApp",Food & Beverages,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
71,Clothing & Apparel,WhatsApp,Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
72,Tech,"Facebook, Instagram, Twitter/X, Tik-Tok, LinkedIn",Home Appliances,"Yes, a slight increase",Agree,"Sometimes, but not always"
73,Electronics & Gadgets,Tik-Tok,Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
74,Catering and Decoration,WhatsApp,Clothing & Apparel,"No, noticeable change",Agree,"Sometimes, but not always"
75,Electronics & Gadgets,Tik-Tok,Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
76,Clothing & Apparel,"Instagram, Twitter/X, LinkedIn, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
77,Electronics & Gadgets,"Twitter/X, WhatsApp",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
78,Locâ€™s and carve,"Facebook, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a slight increase",Agree,"Sometimes, but not always"
79,Science Lab/Equipments,"Facebook, WhatsApp, Telegram",Home Appliances,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
80,Clothing & Apparel,WhatsApp,Clothing & Apparel,"Yes, a slight increase",Agree,"Sometimes, but not always"
81,Clothing & Apparel,"Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a slight increase",Strongly agree,"Sometimes, but not always"
82,Educational,"Facebook, Instagram, Twitter/X, LinkedIn, WhatsApp",Food & Beverages,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
83,Clothing & Apparel,"Facebook, WhatsApp",Clothing & Apparel,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
84,Food & Beverages,WhatsApp,Food & Beverages,"Yes, a slight increase",Neutral,"Sometimes, but not always"
85,Food & Beverages,WhatsApp,Food & Beverages,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
86,Food & Beverages,"Facebook, Instagram, Twitter/X, Tik-Tok, LinkedIn, Snapchat, WhatsApp, Telegram",Food & Beverages,"Yes, a slight increase",Agree,"Sometimes, but not always"
87,Petty trade,WhatsApp,Food & Beverages,"Yes, a slight increase",Agree,"Sometimes, but not always"
88,Food & Beverages,"Facebook, Instagram, Twitter/X, WhatsApp",Food & Beverages,"Yes, a slight increase",Agree,"Yes, high engagement leads to more sales"
89,Educational institute,"Facebook, Instagram, Twitter/X, WhatsApp",Food & Beverages,"Yes, a slight increase",Agree,"Sometimes, but not always"
90,Clothing & Apparel,"Facebook, Tik-Tok, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Agree,"Yes, high engagement leads to more sales"
91,Snacks,WhatsApp,Food & Beverages,"Yes, a significant increase",Agree,"Yes, high engagement leads to more sales"
92,Food & Beverages,WhatsApp,Food & Beverages,"Yes, a slight increase",Agree,"Sometimes, but not always"
93,Clothing & Apparel,"Facebook, Instagram, Twitter/X, WhatsApp",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
94,Hair,"Instagram, Tik-Tok, WhatsApp, Telegram",Clothing & Apparel,"Yes, a significant increase",Strongly agree,"Yes, high engagement leads to more sales"
